tipo      	data       	descricao                          	uf 	municipio                          	codigo ibge
NACIONAL  	01/01/2020 	CONFRATERNIZAÇÃO UNIVERSAL         	   	                                   	          
NACIONAL  	25/02/2020 	CARNAVAL                           	   	                                   	          
NACIONAL  	10/04/2020 	PAIXÃO DE CRISTO                   	   	                                   	          
NACIONAL  	21/04/2020 	TIRADENTES                         	   	                                   	          
NACIONAL  	01/05/2020 	DIA DO TRABALHO                    	   	                                   	          
NACIONAL  	11/06/2020 	CORPUS CHRISTI                     	   	                                   	          
NACIONAL  	07/09/2020 	INDEPENDÊNCIA DO BRASIL            	   	                                   	          
NACIONAL  	12/10/2020 	DIA DE NOSSA SENHORA APARECIDA     	   	                                   	          
NACIONAL  	02/11/2020 	FINADOS                            	   	                                   	          
NACIONAL  	15/11/2020 	PROCLAMAÇÃO DA REPÚBLICA           	   	                                   	          
NACIONAL  	25/12/2020 	NATAL                              	   	                                   	          
ESTADUAL  	15/06/2020 	FERIADO ESTADUAL                   	AC 	                                   	          
ESTADUAL  	16/09/2020 	FERIADO ESTADUAL                   	AL 	                                   	          
ESTADUAL  	13/09/2020 	FERIADO ESTADUAL                   	AP 	                                   	          
ESTADUAL  	25/05/2020 	FERIADO ESTADUAL                   	BA 	                                   	          
ESTADUAL  	25/03/2020 	FERIADO ESTADUAL                   	CE 	                                   	          
ESTADUAL  	15/05/2020 	FERIADO ESTADUAL                   	MA 	                                   	          
ESTADUAL  	15/08/2020 	FERIADO ESTADUAL                   	PA 	                                   	          
ESTADUAL  	05/08/2020 	FERIADO ESTADUAL                   	PB 	                                   	          
ESTADUAL  	06/03/2020 	FERIADO ESTADUAL                   	PE 	                                   	          
ESTADUAL  	15/05/2020 	FERIADO ESTADUAL                   	PI 	                                   	          
ESTADUAL  	12/06/2020 	FERIADO ESTADUAL                   	RN 	                                   	          
ESTADUAL  	04/01/2020 	FERIADO ESTADUAL                   	RO 	                                   	          
ESTADUAL  	05/10/2020 	FERIADO ESTADUAL                   	RR 	                                   	          
ESTADUAL  	22/05/2020 	FERIADO ESTADUAL                   	SE 	                                   	          
ESTADUAL  	25/05/2020 	REVOLUÇÃO DE 1932                  	SP 	                                   	          
MUNICIPAL 	15/08/2020 	FERIADO RELIGIOSO                  	AC 	CRUZEIRO DO SUL                    	1200203   
MUNICIPAL 	27/06/2020 	FERIADO RELIGIOSO                  	AC 	FEIJO                              	1200302   
MUNICIPAL 	04/10/2020 	FERIADO RELIGIOSO                  	AC 	TARAUACA                           	1200609   
MUNICIPAL 	02/02/2020 	FERIADO RELIGIOSO                  	AL 	ARAPIRACA                          	2700300   
MUNICIPAL 	02/12/2020 	FERIADO MUNICIPAL                  	AL 	ARAPIRACA                          	2700300   
MUNICIPAL 	22/05/2020 	FERIADO RELIGIOSO                  	AL 	BOCA DA MATA                       	2701001   
MUNICIPAL 	20/07/2020 	FERIADO RELIGIOSO                  	AL 	BOCA DA MATA                       	2701001   
MUNICIPAL 	02/02/2020 	FERIADO RELIGIOSO                  	AL 	CAJUEIRO                           	2701308   
MUNICIPAL 	23/06/2020 	FERIADO RELIGIOSO                  	AL 	CORURIPE                           	2702306   
MUNICIPAL 	08/12/2020 	FERIADO RELIGIOSO                  	AL 	CORURIPE                           	2702306   
MUNICIPAL 	24/06/2020 	FERIADO RELIGIOSO                  	AL 	DELMIRO GOUVEIA                    	2702405   
MUNICIPAL 	24/06/2020 	FERIADO RELIGIOSO                  	AL 	IGREJA NOVA                        	2703205   
MUNICIPAL 	08/12/2020 	FERIADO RELIGIOSO                  	AL 	IGREJA NOVA                        	2703205   
MUNICIPAL 	20/01/2020 	FERIADO RELIGIOSO                  	AL 	LIMOEIRO DE ANADIA                 	2704203   
MUNICIPAL 	29/06/2020 	FERIADO MUNICIPAL                  	AL 	LIMOEIRO DE ANADIA                 	2704203   
MUNICIPAL 	02/12/2020 	FERIADO RELIGIOSO                  	AL 	LIMOEIRO DE ANADIA                 	2704203   
MUNICIPAL 	27/08/2020 	FERIADO RELIGIOSO                  	AL 	MACEIO                             	2704302   
MUNICIPAL 	08/12/2020 	FERIADO RELIGIOSO                  	AL 	MACEIO                             	2704302   
MUNICIPAL 	15/01/2020 	FERIADO RELIGIOSO                  	AL 	MARIBONDO                          	2704807   
MUNICIPAL 	24/06/2020 	FERIADO RELIGIOSO                  	AL 	MARIBONDO                          	2704807   
MUNICIPAL 	08/12/2020 	FERIADO RELIGIOSO                  	AL 	MARIBONDO                          	2704807   
MUNICIPAL 	13/06/2020 	FERIADO RELIGIOSO                  	AL 	OURO BRANCO                        	2706109   
MUNICIPAL 	29/06/2020 	FERIADO MUNICIPAL                  	AL 	OURO BRANCO                        	2706109   
MUNICIPAL 	02/12/2020 	FERIADO RELIGIOSO                  	AL 	OURO BRANCO                        	2706109   
MUNICIPAL 	08/12/2020 	FERIADO RELIGIOSO                  	AL 	PALMEIRA DOS INDIOS                	2706307   
MUNICIPAL 	13/01/2020 	FERIADO RELIGIOSO                  	AL 	PAO DE ACUCAR                      	2706406   
MUNICIPAL 	28/06/2020 	FERIADO RELIGIOSO                  	AL 	PAO DE ACUCAR                      	2706406   
MUNICIPAL 	08/12/2020 	FERIADO RELIGIOSO                  	AL 	PAO DE ACUCAR                      	2706406   
MUNICIPAL 	20/01/2020 	FERIADO RELIGIOSO                  	AL 	PASSO DE CAMARAGIBE                	2706505   
MUNICIPAL 	29/06/2020 	FERIADO MUNICIPAL                  	AL 	PASSO DE CAMARAGIBE                	2706505   
MUNICIPAL 	08/12/2020 	FERIADO RELIGIOSO                  	AL 	PASSO DE CAMARAGIBE                	2706505   
MUNICIPAL 	07/10/2020 	FERIADO RELIGIOSO                  	AL 	PENEDO                             	2706703   
MUNICIPAL 	08/12/2020 	FERIADO RELIGIOSO                  	AL 	PENEDO                             	2706703   
MUNICIPAL 	02/02/2020 	FERIADO RELIGIOSO                  	AL 	PILAR                              	2706901   
MUNICIPAL 	08/12/2020 	FERIADO RELIGIOSO                  	AL 	PILAR                              	2706901   
MUNICIPAL 	02/02/2020 	FERIADO RELIGIOSO                  	AL 	PIRANHAS                           	2707107   
MUNICIPAL 	20/01/2020 	FERIADO RELIGIOSO                  	AL 	PORTO CALVO                        	2707305   
MUNICIPAL 	21/11/2020 	FERIADO RELIGIOSO                  	AL 	PORTO CALVO                        	2707305   
MUNICIPAL 	09/04/2020 	FERIADO RELIGIOSO                  	AL 	RIO LARGO                          	2707701   
MUNICIPAL 	08/12/2020 	FERIADO RELIGIOSO                  	AL 	RIO LARGO                          	2707701   
MUNICIPAL 	26/07/2020 	FERIADO RELIGIOSO                  	AL 	SANTANA DO IPANEMA                 	2708006   
MUNICIPAL 	24/06/2020 	FERIADO RELIGIOSO                  	AL 	SAO MIGUEL DOS CAMPOS              	2708600   
MUNICIPAL 	18/12/2020 	FERIADO RELIGIOSO                  	AL 	SAO MIGUEL DOS CAMPOS              	2708600   
MUNICIPAL 	20/01/2020 	FERIADO RELIGIOSO                  	AL 	SAO SEBASTIAO                      	2708808   
MUNICIPAL 	08/09/2020 	FERIADO RELIGIOSO                  	AL 	SAO SEBASTIAO                      	2708808   
MUNICIPAL 	02/12/2020 	FERIADO RELIGIOSO                  	AL 	SAO SEBASTIAO                      	2708808   
MUNICIPAL 	02/02/2020 	FERIADO RELIGIOSO                  	AL 	UNIAO DOS PALMARES                 	2709301   
MUNICIPAL 	22/07/2020 	FERIADO RELIGIOSO                  	AL 	UNIAO DOS PALMARES                 	2709301   
MUNICIPAL 	08/12/2020 	FERIADO RELIGIOSO                  	AL 	UNIAO DOS PALMARES                 	2709301   
MUNICIPAL 	02/02/2020 	FERIADO RELIGIOSO                  	AL 	VICOSA                             	2709400   
MUNICIPAL 	29/06/2020 	FERIADO MUNICIPAL                  	AM 	ITACOATIARA                        	1301902   
MUNICIPAL 	01/11/2020 	FERIADO MUNICIPAL                  	AM 	ITACOATIARA                        	1301902   
MUNICIPAL 	08/09/2020 	FERIADO RELIGIOSO                  	AM 	LABREA                             	1302405   
MUNICIPAL 	20/11/2020 	FERIADO MUNICIPAL                  	AM 	LABREA                             	1302405   
MUNICIPAL 	08/12/2020 	FERIADO MUNICIPAL                  	AM 	MANAUS                             	1302603   
MUNICIPAL 	15/09/2020 	FERIADO MUNICIPAL                  	AM 	MANICORE                           	1302702   
MUNICIPAL 	13/06/2020 	FERIADO RELIGIOSO                  	AM 	SANTO ANTONIO DO ICA               	1303700   
MUNICIPAL 	01/02/2020 	DIA DO MUNICÍPIO                   	AM 	TABATINGA                          	1304062   
MUNICIPAL 	29/09/2020 	FERIADO RELIGIOSO                  	AM 	TABATINGA                          	1304062   
MUNICIPAL 	15/10/2020 	FERIADO RELIGIOSO                  	AM 	TEFE                               	1304203   
MUNICIPAL 	20/11/2020 	FERIADO MUNICIPAL                  	AM 	TEFE                               	1304203   
MUNICIPAL 	13/06/2020 	FERIADO RELIGIOSO                  	AP 	LARANJAL DO JARI                   	1600279   
MUNICIPAL 	19/03/2020 	FERIADO RELIGIOSO                  	AP 	MACAPA                             	1600303   
MUNICIPAL 	08/12/2020 	FERIADO RELIGIOSO                  	AP 	MACAPA                             	1600303   
MUNICIPAL 	15/08/2020 	FERIADO RELIGIOSO                  	AP 	OIAPOQUE                           	1600501   
MUNICIPAL 	01/06/2020 	FERIADO MUNICIPAL                  	BA 	ALAGOINHAS                         	2900702   
MUNICIPAL 	26/04/2020 	FERIADO RELIGIOSO                  	BA 	AMARGOSA                           	2901007   
MUNICIPAL 	31/05/2020 	FERIADO RELIGIOSO                  	BA 	AMELIA RODRIGUES                   	2901106   
MUNICIPAL 	26/05/2020 	FERIADO RELIGIOSO                  	BA 	ANAGE                              	2901205   
MUNICIPAL 	26/05/2020 	FERIADO RELIGIOSO                  	BA 	BARRA                              	2902708   
MUNICIPAL 	26/05/2020 	FERIADO RELIGIOSO                  	BA 	BARRA DA ESTIVA                    	2902807   
MUNICIPAL 	06/08/2020 	FERIADO RELIGIOSO                  	BA 	BARRA DA ESTIVA                    	2902807   
MUNICIPAL 	26/05/2020 	FERIADO RELIGIOSO                  	BA 	BARREIRAS                          	2903201   
MUNICIPAL 	20/01/2020 	FERIADO RELIGIOSO                  	BA 	BELMONTE                           	2903409   
MUNICIPAL 	16/07/2020 	FERIADO RELIGIOSO                  	BA 	BELMONTE                           	2903409   
MUNICIPAL 	06/08/2020 	FERIADO RELIGIOSO                  	BA 	BOM JESUS DA LAPA                  	2903904   
MUNICIPAL 	15/09/2020 	FERIADO RELIGIOSO                  	BA 	BOM JESUS DA LAPA                  	2903904   
MUNICIPAL 	26/05/2020 	FERIADO RELIGIOSO                  	BA 	BOQUIRA                            	2904100   
MUNICIPAL 	20/01/2020 	FERIADO RELIGIOSO                  	BA 	BRUMADO                            	2904605   
MUNICIPAL 	26/05/2020 	FERIADO RELIGIOSO                  	BA 	BRUMADO                            	2904605   
MUNICIPAL 	06/08/2020 	FERIADO RELIGIOSO                  	BA 	BRUMADO                            	2904605   
MUNICIPAL 	26/05/2020 	FERIADO RELIGIOSO                  	BA 	CACULE                             	2905008   
MUNICIPAL 	08/09/2020 	FERIADO RELIGIOSO                  	BA 	CACULE                             	2905008   
MUNICIPAL 	26/05/2020 	FERIADO RELIGIOSO                  	BA 	CAETITE                            	2905206   
MUNICIPAL 	26/07/2020 	FERIADO RELIGIOSO                  	BA 	CAETITE                            	2905206   
MUNICIPAL 	20/01/2020 	FERIADO RELIGIOSO                  	BA 	CAMACAN                            	2905602   
MUNICIPAL 	26/05/2020 	FERIADO MUNICIPAL                  	BA 	CAMACARI                           	2905701   
MUNICIPAL 	27/05/2020 	FERIADO MUNICIPAL                  	BA 	CAMACARI                           	2905701   
MUNICIPAL 	18/08/2020 	FERIADO RELIGIOSO                  	BA 	CAMAMU                             	2905800   
MUNICIPAL 	11/02/2020 	FERIADO RELIGIOSO                  	BA 	CAMPO ALEGRE DE LOURDES            	2905909   
MUNICIPAL 	20/01/2020 	FERIADO RELIGIOSO                  	BA 	CANAVIEIRAS                        	2906303   
MUNICIPAL 	14/07/2020 	FERIADO RELIGIOSO                  	BA 	CANAVIEIRAS                        	2906303   
MUNICIPAL 	27/11/2020 	FERIADO RELIGIOSO                  	BA 	CANDIDO SALES                      	2906709   
MUNICIPAL 	26/07/2020 	FERIADO RELIGIOSO                  	BA 	CANSANCAO                          	2906808   
MUNICIPAL 	26/05/2020 	FERIADO MUNICIPAL                  	BA 	CAPIM GROSSO                       	2906873   
