tipo;data;descricao;uf;município;codigo ibge
NACIONAL;01/01/2021;CONFRATERNIZAÇÃO UNIVERSAL;;;
NACIONAL;16/02/2021;CARNAVAL;;;
NACIONAL;02/04/2021;PAIXÃO DE CRISTO;;;
NACIONAL;21/04/2021;TIRADENTES;;;
NACIONAL;01/05/2021;DIA DO TRABALHO;;;
NACIONAL;03/06/2021;CORPUS CHRISTI;;;
NACIONAL;07/09/2021;INDEPENDÊNCIA DO BRASIL;;;
NACIONAL;12/10/2021;DIA DE NOSSA SENHORA APARECIDA;;;
NACIONAL;02/11/2021;FINADOS;;;
NACIONAL;15/11/2021;PROCLAMAÇÃO DA REPÚBLICA;;;
NACIONAL;25/12/2021;NATAL;;;
ESTADUAL;16/09/2021;FERIADO ESTADUAL;AL;;
ESTADUAL;02/07/2021;FERIADO ESTADUAL;BA;;
ESTADUAL;25/03/2021;FERIADO ESTADUAL;CE;;
ESTADUAL;28/07/2021;FERIADO ESTADUAL;MA;;
ESTADUAL;05/08/2021;FERIADO ESTADUAL;PB;;
ESTADUAL;06/03/2021;FERIADO ESTADUAL;PE;;
ESTADUAL;19/10/2021;FERIADO ESTADUAL;PI;;
ESTADUAL;03/10/2021;FERIADO ESTADUAL;RN;;
ESTADUAL;04/01/2021;FERIADO ESTADUAL;RO;;
ESTADUAL;11/08/2021;FERIADO ESTADUAL;SC;;
ESTADUAL;08/07/2021;FERIADO ESTADUAL;SE;;
ESTADUAL;09/07/2021;REVOLUÇÃO DE 1932;SP;;
MUNICIPAL;02/02/2021;FERIADO RELIGIOSO;AL;ARAPIRACA;2700300
MUNICIPAL;08/12/2021;FERIADO MUNICIPAL;AL;ARAPIRACA;2700300
MUNICIPAL;22/05/2021;FERIADO RELIGIOSO;AL;BOCA DA MATA;2701001
MUNICIPAL;20/07/2021;FERIADO RELIGIOSO;AL;BOCA DA MATA;2701001
MUNICIPAL;02/02/2021;FERIADO RELIGIOSO;AL;CAJUEIRO;2701308
MUNICIPAL;23/06/2021;FERIADO RELIGIOSO;AL;CORURIPE;2702306
MUNICIPAL;08/12/2021;FERIADO RELIGIOSO;AL;CORURIPE;2702306
MUNICIPAL;24/06/2021;FERIADO RELIGIOSO;AL;DELMIRO GOUVEIA;2702405
MUNICIPAL;24/06/2021;FERIADO RELIGIOSO;AL;IGREJA NOVA;2703205
MUNICIPAL;08/12/2021;FERIADO RELIGIOSO;AL;IGREJA NOVA;2703205
MUNICIPAL;20/01/2021;FERIADO RELIGIOSO;AL;LIMOEIRO DE ANADIA;2704203
MUNICIPAL;29/06/2021;FERIADO MUNICIPAL;AL;LIMOEIRO DE ANADIA;2704203
MUNICIPAL;08/12/2021;FERIADO RELIGIOSO;AL;LIMOEIRO DE ANADIA;2704203
MUNICIPAL;27/08/2021;FERIADO RELIGIOSO;AL;MACEIO;2704302
MUNICIPAL;08/12/2021;FERIADO RELIGIOSO;AL;MACEIO;2704302
MUNICIPAL;15/01/2021;FERIADO RELIGIOSO;AL;MARIBONDO;2704807
MUNICIPAL;24/06/2021;FERIADO RELIGIOSO;AL;MARIBONDO;2704807
MUNICIPAL;08/12/2021;FERIADO RELIGIOSO;AL;MARIBONDO;2704807
MUNICIPAL;13/06/2021;FERIADO RELIGIOSO;AL;OURO BRANCO;2706109
MUNICIPAL;29/06/2021;FERIADO MUNICIPAL;AL;OURO BRANCO;2706109
MUNICIPAL;08/12/2021;FERIADO RELIGIOSO;AL;OURO BRANCO;2706109
MUNICIPAL;08/12/2021;FERIADO RELIGIOSO;AL;PALMEIRA DOS INDIOS;2706307
MUNICIPAL;20/01/2021;FERIADO RELIGIOSO;AL;PASSO DE CAMARAGIBE;2706505
MUNICIPAL;29/06/2021;FERIADO RELIGIOSO;AL;PASSO DE CAMARAGIBE;2706505
MUNICIPAL;08/12/2021;FERIADO RELIGIOSO;AL;PASSO DE CAMARAGIBE;2706505
MUNICIPAL;07/10/2021;FERIADO RELIGIOSO;AL;PENEDO;2706703
MUNICIPAL;08/12/2021;FERIADO RELIGIOSO;AL;PENEDO;2706703
MUNICIPAL;02/02/2021;FERIADO RELIGIOSO;AL;PILAR;2706901
MUNICIPAL;08/12/2021;FERIADO RELIGIOSO;AL;PILAR;2706901
MUNICIPAL;02/02/2021;FERIADO RELIGIOSO;AL;PIRANHAS;2707107
MUNICIPAL;20/01/2021;FERIADO RELIGIOSO;AL;PORTO CALVO;2707305
MUNICIPAL;21/11/2021;FERIADO RELIGIOSO;AL;PORTO CALVO;2707305
MUNICIPAL;01/04/2021;FERIADO RELIGIOSO;AL;RIO LARGO;2707701
